Treatment_gkg,Wheat_GP_Gh,Wheat_SL_Gh,Wheat_RL_Gh,Mustard_GP_Gh,Mustard_SL_Gh,Mustard_RL_Gh,pH,EC
Control,98.1,4.950,4.740,60.000,15.850,5.050,8.60,640.00
Control,97.4,5.250,5.350,60.000,8.100,3.800,8.20,802.80
Control,96.8,5.670,6.000,55.000,7.300,4.220,8.70,540.20
Control,97.7,5.250,5.350,65.000,7.150,3.250,8.50,655.00
15 g/kg,88.0,4.980,3.750,68.000,2.900,3.660,8.25,730.00
15 g/kg,85.7,5.200,4.300,70.500,3.700,4.030,7.95,730.00
15 g/kg,89.3,5.260,3.250,65.700,4.400,2.560,8.95,675.00
15 g/kg,87.0,5.200,3.700,69.000,4.000,3.230,8.45,703.00
30 g/kg,60.0,4.580,3.500,64.700,3.130,3.700,7.60,1262.00
30 g/kg,60.0,4.450,4.000,50.300,3.710,4.370,7.70,1071.00
30 g/kg,58.6,4.150,2.900,57.320,4.520,2.050,8.00,893.00
30 g/kg,61.4,4.500,3.600,61.000,3.800,3.200,7.54,990.00
45 g/kg,41.0,4.350,3.300,93.500,5.900,2.330,7.80,1390.00
45 g/kg,42.9,4.450,4.110,96.000,5.800,4.170,8.15,1270.00
45 g/kg,39.0,4.030,2.890,94.000,7.220,0.730,7.90,852.50
45 g/kg,37.1,4.050,3.180,96.500,4.080,2.250,7.39,1103.50
